"Herbivory","Plot","pendiente"
"Control","1",0.0701111819734918
"Control","2",0.068475789849349
"Control","3",0.069828766014256
"Control","4",0.0574362122919422
"Control","5",0.0615514794483866
"Control","6",0.0603189995755385
"Exclosure","1",0.0896163782420924
"Exclosure","2",0.0717689122698028
"Exclosure","3",0.0983946322297523
"Exclosure","4",0.0764628495709157
"Exclosure","5",0.105466940496529
"Exclosure","6",0.0936248760235271
"Partial","1",0.0907887758248542
"Partial","2",0.0970346855470873
"Partial","3",0.0405938518224189
"Partial","4",0.0633176117982566
"Partial","5",0.0659512922103888
"Partial","6",0.0700531465036707
