"taxa","cover","Herbivory"
"Sporobolus  rigens",-0.175213675213675,"fa_so"
"Nassella  tenuis",0.014041514041514,"fa_so"
"Poa  lanuginosa",0.161172161172161,"fa_so"
"Panicum  urvilleanum",0,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.0149456521739131,"fa_so"
"Nassella  tenuis",0.144021739130435,"fa_so"
"Poa  lanuginosa",0.0883152173913044,"fa_so"
"Panicum  urvilleanum",-0.217391304347826,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.320574162679426,"fa_so"
"Nassella  tenuis",-0.0770334928229665,"fa_so"
"Poa  lanuginosa",0.177511961722488,"fa_so"
"Panicum  urvilleanum",0.220095693779904,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",0.0111835973904939,"fa_so"
"Nassella  tenuis",-0.164492078285182,"fa_so"
"Poa  lanuginosa",0.199906803355079,"fa_so"
"Panicum  urvilleanum",-0.0465983224603914,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.521181001283697,"fa_so"
"Nassella  tenuis",-0.0556268720581943,"fa_so"
"Poa  lanuginosa",0.341035515618314,"fa_so"
"Panicum  urvilleanum",0.235772357723577,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.238179407865665,"fa_so"
"Nassella  tenuis",-0.203269995581087,"fa_so"
"Poa  lanuginosa",0.186036235086169,"fa_so"
"Panicum  urvilleanum",0.287671232876712,"fa_so"
"Pappostipa  speciosa",-0.032258064516129,"fa_so"
"Sporobolus  rigens",-0.238461538461538,"fa_so"
"Nassella  tenuis",0.188461538461538,"fa_so"
"Poa  lanuginosa",-0.0846153846153846,"fa_so"
"Panicum  urvilleanum",0.134615384615385,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.0533333333333333,"fa_so"
"Nassella  tenuis",0.00666666666666665,"fa_so"
"Poa  lanuginosa",0.0866666666666667,"fa_so"
"Panicum  urvilleanum",-0.04,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",0.0364864864864866,"fa_so"
"Nassella  tenuis",-0.182882882882883,"fa_so"
"Poa  lanuginosa",0.183783783783784,"fa_so"
"Panicum  urvilleanum",-0.0373873873873874,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",0.0559732664995822,"fa_so"
"Nassella  tenuis",-0.230994152046784,"fa_so"
"Poa  lanuginosa",0.175020885547201,"fa_so"
"Panicum  urvilleanum",0,"fa_so"
"Pappostipa  speciosa",0,"fa_so"
"Sporobolus  rigens",-0.739170506912442,"ex"
"Sporobolus  rigens",-0.771428571428571,"pa"
"Panicum  urvilleanum",0.0483870967741935,"ex"
"Panicum  urvilleanum",0.454545454545455,"pa"
"Nassella  tenuis",-0.139170506912442,"ex"
"Nassella  tenuis",-0.0805194805194805,"pa"
"Pappostipa  speciosa",0,"ex"
"Pappostipa  speciosa",0,"pa"
"Poa  lanuginosa",0.829953917050691,"ex"
"Poa  lanuginosa",0.397402597402597,"pa"
"Sporobolus  rigens",-0.228070175438596,"ex"
"Sporobolus  rigens",-0.152046783625731,"pa"
"Panicum  urvilleanum",0.043859649122807,"ex"
"Panicum  urvilleanum",0.473684210526316,"pa"
"Nassella  tenuis",-0.640350877192982,"ex"
"Nassella  tenuis",-0.491228070175439,"pa"
"Pappostipa  speciosa",0,"ex"
"Pappostipa  speciosa",0,"pa"
"Poa  lanuginosa",0.824561403508772,"ex"
"Poa  lanuginosa",0.169590643274854,"pa"
"Sporobolus  rigens",0.0277777777777777,"ex"
"Sporobolus  rigens",-0.185897435897436,"pa"
"Panicum  urvilleanum",0.0555555555555556,"ex"
"Panicum  urvilleanum",0.384615384615385,"pa"
"Nassella  tenuis",-0.555555555555556,"ex"
"Nassella  tenuis",-0.401709401709402,"pa"
"Pappostipa  speciosa",0.166666666666667,"ex"
"Pappostipa  speciosa",0.153846153846154,"pa"
"Poa  lanuginosa",0.305555555555556,"ex"
"Poa  lanuginosa",0.0491452991452992,"pa"
"Sporobolus  rigens",-0.053306342780027,"ex"
"Sporobolus  rigens",0.0119617224880383,"pa"
"Panicum  urvilleanum",0.692307692307692,"ex"
"Panicum  urvilleanum",0.681818181818182,"pa"
"Nassella  tenuis",-0.792847503373819,"ex"
"Nassella  tenuis",-0.739234449760765,"pa"
"Pappostipa  speciosa",0.0256410256410256,"ex"
"Pappostipa  speciosa",0,"pa"
"Poa  lanuginosa",0.128205128205128,"ex"
"Poa  lanuginosa",0.0454545454545455,"pa"
"Sporobolus  rigens",-0.3,"ex"
"Sporobolus  rigens",-0.296551724137931,"pa"
"Panicum  urvilleanum",0,"ex"
"Panicum  urvilleanum",0,"pa"
"Nassella  tenuis",0.266666666666667,"ex"
"Nassella  tenuis",0.328735632183908,"pa"
"Pappostipa  speciosa",0,"ex"
"Pappostipa  speciosa",0,"pa"
"Poa  lanuginosa",0.0333333333333333,"ex"
"Poa  lanuginosa",-0.032183908045977,"pa"
"Sporobolus  rigens",-0.0350877192982456,"ex"
"Sporobolus  rigens",0.0964912280701754,"pa"
"Panicum  urvilleanum",0,"ex"
"Panicum  urvilleanum",0,"pa"
"Nassella  tenuis",-0.754385964912281,"ex"
"Nassella  tenuis",-0.728070175438597,"pa"
"Pappostipa  speciosa",0,"ex"
"Pappostipa  speciosa",0,"pa"
"Poa  lanuginosa",0.789473684210526,"ex"
"Poa  lanuginosa",0.631578947368421,"pa"
